ip_prefix,alpha2code,region,city,
148.222.224.0/24,CL,CL-RM,Santiago,
148.222.225.0/24,CO,CO-DC,Bogota,
148.222.225.0/25,CO,CO-DC,Bogota,
148.222.225.0/28,CO,CO-DC,Bogota,
148.222.225.16/29,CO,CO-DC,Bogota,
148.222.225.24/29,CO,CO-DC,Bogota,
148.222.225.32/29,CO,CO-DC,Bogota,
148.222.225.40/29,CO,CO-DC,Bogota,
148.222.225.128/27,CO,CO-DC,Bogota,
148.222.226.0/24,AR,AR-C,Buenos Aires,
148.222.228.0/23,PE,PE-LIM,Lima,
148.222.228.10/31,PE,PE-LIM,Lima,
148.222.230.0/24,PE,PE-LIM,Lima,
148.222.231.0/24,PE,PE-LIM,Lima,
148.222.232.0/22,PE,PE-LIM,Lima,
76.72.160.0/24,GB,GB-ENG,London,
76.72.160.0/25,GB,GB-ENG,London,
76.72.160.0/29,GB,GB-ENG,London,
76.72.160.6/31,GB,GB-ENG,London,
76.72.160.8/29,GB,GB-ENG,London,
76.72.160.8/31,GB,GB-ENG,London,
76.72.160.16/28,GB,GB-ENG,London,
76.72.160.64/26,GB,GB-ENG,London,
76.72.160.64/27,GB,GB-ENG,London,
76.72.160.96/28,GB,GB-ENG,London,
76.72.160.112/28,GB,GB-ENG,London,
76.72.160.128/25,GB,GB-ENG,London,
76.72.161.0/24,US,US-CA,Los Angeles,
76.72.161.16/28,US,US-CA,Los Angeles,
76.72.161.32/30,US,US-CA,Los Angeles,
76.72.162.0/23,US,US-FL,Miami,
76.72.164.0/24,US,US-TX,Dallas,
76.72.165.0/24,US,US-VA,Washington,
76.72.166.0/24,DE,DE-HE,Frankfurt,
76.72.166.0/25,DE,DE-HE,Frankfurt,
76.72.166.0/29,DE,DE-HE,Frankfurt,
76.72.166.8/29,DE,DE-HE,Frankfurt,
76.72.166.16/28,DE,DE-HE,Frankfurt,
76.72.166.64/26,DE,DE-HE,Frankfurt,
76.72.166.64/27,DE,DE-HE,Frankfurt,
76.72.166.96/28,DE,DE-HE,Frankfurt,
76.72.166.112/28,DE,DE-HE,Frankfurt,
76.72.166.128/25,DE,DE-HE,Frankfurt,
76.72.168.0/24,CO,CO-DC,Bogota,
76.72.169.0/24,AR,AR-C,Buenos Aires,
